Date,Time,Trade Name,Generic Name,Quantity,Amount,Profit,Dispenser
31/12/2021,12:58 pm,Dynapar Tabs 100s,Dynapar Tabs 100's,2,22000,2400,CRISTOPHER
31/12/2021,12:58 pm,Amoxicillin Dawa,Amoxicillin Dawa,3,4800,1500,CRISTOPHER
31/12/2021,4:12 pm,Toractin Tabs 100s,Toractin Tabs 100's,0,0,0,CRISTOPHER
31/12/2021,4:12 pm,Sinurhon 20pks 6's,Sinurhon 20pks 6's,0,0,0,CRISTOPHER
31/12/2021,4:12 pm,Zecuf Herbal Syp 100ml,Zecuf Herbal Syp 100ml,5,16000,1500,CRISTOPHER
31/12/2021,4:12 pm,Ampiclox Caps (India) 10x10,Ampiclox Caps (India) 10x10,7,77000,5600,CRISTOPHER
31/12/2021,3:33 pm,Toractin Syp 100ml,Toractin Syp 100ml,4,13600,900,CRISTOPHER
31/12/2021,3:33 pm,Remicol Ear Drop 10ml,Remicol Ear Drop 10ml,5,6500,1500,CRISTOPHER
31/12/2021,9:49 pm,Antinal Syp,Antinal Syp,2,19000,1520,CRISTOPHER
31/12/2021,9:49 pm,Lydia postpil tab 1s,Lydia postpil tab 1's,20,35000,4800,CRISTOPHER
31/12/2021,10:19 pm,Lydia postpil tab 1s,Lydia postpil tab 1's,20,35000,4800,CRISTOPHER
31/12/2021,11:19 pm,Centipar Syp 30ml,Centipar Syp 30ml,7,16100,1400,CRISTOPHER
31/12/2021,11:19 pm,Ago Plus Caps,Ago Plus Caps,0,0,0,CRISTOPHER
31/12/2021,11:22 am,Sulbactomax 1.5g Inj.,Sulbactomax 1.5g Inj.,30,97500,3000,KIKOISHAKA
31/12/2021,12:56 pm,Mucolex Syrup,Mucolex Syrup,2,5500,380,CRISTOPHER
31/12/2021,4:09 pm,Piritex with (C) 100ml,Piritex with (C) 100ml,3,13500,900,CRISTOPHER
31/12/2021,11:04 pm,Ago Plus Caps,Ago Plus Caps,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Cefixime 400mg Caps Virexim (C),Cefixime 400mg Caps (C),0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Medical Evelops (Paper),Medical Evelops (Paper),0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Zecuf Herbal Syp 100ml,Zecuf Herbal Syp 100ml,3,9600,900,CRISTOPHER
31/12/2021,11:04 pm,Apflu Syp 100ml,Apflu Syp 100ml,2,7200,650,CRISTOPHER
31/12/2021,11:04 pm,Bronchophane Syp,Bronchophane Syp,3,31500,4500,CRISTOPHER
31/12/2021,11:04 pm,Histalin Syp 60ml,Histalin Syp 60ml,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Ocid Caps 10x10,Ocid Caps 10x10,1,4500,825,CRISTOPHER
31/12/2021,11:04 pm,Magnesium Susp.,Magnesium Susp.,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Ors-Non Orange,Ors-Non Orange,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Ors-Flavoured,ORS-Flavoured,25,6625,1125,CRISTOPHER
31/12/2021,11:04 pm,Megyl Susp.100ml,Megyl Susp.100ml,3,9000,2400,CRISTOPHER
31/12/2021,11:04 pm,Vitamin B Complex,Vitamin B Complex,1,1700,375,CRISTOPHER
31/12/2021,11:04 pm,Septrine Tab 480mg 100s,Septrine Tab 480mg 100's,2,8800,1400,CRISTOPHER
31/12/2021,11:04 pm,Griseofulivin 500mg 100s(India),Griseofulivin 500mg 100's(India),1,20500,1000,CRISTOPHER
31/12/2021,11:04 pm,Ciprofloxacin Tab 500mg,Ciprofloxacin Tab 500mg,1,10000,1200,CRISTOPHER
31/12/2021,11:04 pm,Cefamor Syp,Cefamor Syp,2,9600,640,CRISTOPHER
31/12/2021,11:04 pm,Ampiclox Syp (Rene),Ampiclox Syp (Rene),4,10400,1400,CRISTOPHER
31/12/2021,11:04 pm,NEOSIDAR,FANSIDER,10,9500,1000,CRISTOPHER
31/12/2021,11:04 pm,Lonart Tab 24s,Lonart Tab 24's,6,14400,2400,CRISTOPHER
31/12/2021,11:04 pm,Ridmal 40/320 9s,Ridmal 40/320 9's,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Cetamol Syrup 60ml,Cetamol Syrup 60ml,3,8100,1050,CRISTOPHER
31/12/2021,11:04 pm,Ibumex Susp 60ml,Ibumex Susp 60ml,4,10800,1600,CRISTOPHER
31/12/2021,11:04 pm,Lubyamira Syp,Lubyamira Syp,3,5100,600,CRISTOPHER
31/12/2021,11:04 pm,Cough Linctus 1ltr,Cough Linctus 1ltr,2,8000,1000,CRISTOPHER
31/12/2021,11:04 pm,Kabuti Herbal Cough Syp,Kabuti Herbal Cough Syp,5,11000,1000,CRISTOPHER
31/12/2021,11:04 pm,Buzira Syr 120ml,Buzira Syr 120ml,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Always Maxi Extra Long,Always Maxi Extra Long,8,20800,1600,CRISTOPHER
31/12/2021,11:04 pm,Opele Lotion,Opele Lotion,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Azithro 250mg (Swazi),Azithro 250mg (Swazi),3,6894,1344,CRISTOPHER
31/12/2021,11:04 pm,Azilide 500mg tab 3s,Azilide 500mg tab 3's,10,30000,5000,CRISTOPHER
31/12/2021,11:04 pm,Zaha tab 3s,Zaha tab 3's,10,49500,4000,CRISTOPHER
31/12/2021,11:04 pm,Curamol Tabs 100s,Curamol Tabs 100's,1,10700,550,CRISTOPHER
31/12/2021,11:04 pm,Hedex Tabs 100s,Hedex Tabs 100's,1,12000,1497.5,CRISTOPHER
31/12/2021,11:22 am,Ago Plus Caps,Ago Plus Caps,10,63040,2040,KIKOISHAKA
31/12/2021,6:25 pm,Sinurhon 20pks 6's,Sinurhon 20pks 6's,2,29000,1000,KIKOISHAKA
31/12/2021,11:19 pm,Calamine Lotion,Calamine Lotion,5,9250,500,CRISTOPHER
31/12/2021,11:19 pm,Syringe 10ml,Syringe 10ml,20,7000,460,CRISTOPHER
31/12/2021,11:19 pm,Syringe 5ml,Syringes 5ml,20,3100,140,CRISTOPHER
31/12/2021,11:19 pm,Syringe 2ml,Syringes 2ml,20,3100,200,CRISTOPHER
31/12/2021,11:19 pm,Blood Lancets 100s,Blood Lancets 100's,1,3500,800,CRISTOPHER
31/12/2021,11:19 pm,Trust Condom(studd/scentt) 24s,Trust Condom(studd/scentt) 24's,24,16800,-1560,CRISTOPHER
31/12/2021,11:19 pm,Kiss Condom Strawberry,Condom,24,19200,3600,CRISTOPHER
31/12/2021,11:19 pm,Ors-Flavoured,ORS-Flavoured,0,0,0,CRISTOPHER
31/12/2021,11:19 pm,Ors-Non Orange,Ors-Non Orange,25,6250,250,CRISTOPHER
31/12/2021,11:19 pm,Diclomol Inj. 75mg/3ml x 10,Diclomol Inj. 75mg/3ml x 10,10,2500,310,CRISTOPHER
31/12/2021,11:19 pm,HCG Strips,HCG Strips,50,15000,3500,CRISTOPHER
31/12/2021,11:19 pm,Malaria Test Kits,Malaria Test Kits,25,25000,3000,CRISTOPHER
31/12/2021,11:19 pm,NEOSIDAR,FANSIDER,5,0,-4250,CRISTOPHER
31/12/2021,11:19 pm,Lonart Tab 24s,Lonart Tab 24's,10,21500,1500,CRISTOPHER
31/12/2021,11:19 pm,Dragon -Abacus,Dragon -Abacus,0,0,0,CRISTOPHER
31/12/2021,11:19 pm,Penegra Tabs 50mg 4s,Penegra Tabs 50mg 4's,10,28000,2250,CRISTOPHER
31/12/2021,11:19 pm,Penegra Tabs 100mg 4s,Penegra Tabs 100mg 4's,10,37000,1250,CRISTOPHER
31/12/2021,11:19 pm,Toff-Plus Caps,Toff-Plus Caps,3,22800,750,CRISTOPHER
31/12/2021,11:19 pm,Coldafex Tab 200s,Coldafex Tab 200's,0,0,0,CRISTOPHER
31/12/2021,11:19 pm,Menthoxyl Herbal Loz.,Menthoxyl Herbal Loz.,50,17500,200,CRISTOPHER
31/12/2021,11:19 pm,Sinurhon 20pks 6's,Sinurhon 20pks 6's,0,0,0,CRISTOPHER
31/12/2021,11:19 pm,Flucap Capsules,Flucap Capsules,1,11500,600,CRISTOPHER
31/12/2021,11:19 pm,Piriton Tab 10x10,Piriton Tab 10x10,5,7500,750,CRISTOPHER
31/12/2021,11:19 pm,Prednisolene Tabs 10x10,Prednisolene Tabs 10x10,5,12000,1500,CRISTOPHER
31/12/2021,11:19 pm,Cannula G22 (Blue),Cannula G22 (Blue),5,1800,175,CRISTOPHER
31/12/2021,11:19 pm,Cannula G24 (Y),Cannula G24 (Y),5,1750,100,CRISTOPHER
31/12/2021,11:19 pm,Charcoal 250mg Tab,Charcoal 250mg Tab,5,60000,1750,CRISTOPHER
31/12/2021,11:19 pm,Magnesium Tabs.,Magnesium Tabs.,3,6600,900,CRISTOPHER
31/12/2021,11:19 pm,Examination Gloves,Examination Gloves,50,22000,2000,CRISTOPHER
31/12/2021,11:19 pm,Neuroton Tabs 20s,Neuroton Tabs 20's,2,24000,2000,CRISTOPHER
31/12/2021,11:19 pm,Vitamin B Complex,Vitamin B Complex,5,7500,1500,CRISTOPHER
31/12/2021,11:19 pm,Ecorin - 75mg 10x10,Ecorin - 75mg 10x10,2,21000,1200,CRISTOPHER
31/12/2021,11:19 pm,Losacar H,Losacar H,1,12900,400,CRISTOPHER
31/12/2021,11:19 pm,Atenolol 100mg Uk,Atenolol 100mg Uk,1,6160,360,CRISTOPHER
31/12/2021,11:19 pm,Kabuti Herbal Cough Syp,Kabuti Herbal Cough Syp,5,10500,500,CRISTOPHER
31/12/2021,11:19 pm,Magnesium Susp.,Magnesium Susp.,5,8250,400,CRISTOPHER
31/12/2021,11:19 pm,Albendazole Syp (C),Albendazole Syp (C),3,2850,525,CRISTOPHER
31/12/2021,11:19 pm,Rohisol Syp 15ml,Rohisol Syp 15ml,7,12600,1400,CRISTOPHER
31/12/2021,11:19 pm,Ibumex Susp 60ml,Ibumex Susp 60ml,5,12500,1000,CRISTOPHER
31/12/2021,11:19 pm,Ampicillin Syrup 100ml,Ampicillin Syrup 100ml,5,8000,1500,CRISTOPHER
31/12/2021,11:19 pm,Medicloamp,Medicloamp,5,15500,1000,CRISTOPHER
31/12/2021,11:19 pm,CHLOROCID,CHLOROCID,3,8700,600,CRISTOPHER
31/12/2021,11:19 pm,Probeta N Eye Drop,Probeta N Eye Drop,5,0,-14250,CRISTOPHER
31/12/2021,11:19 pm,MCG,MCG,10,36000,7000,CRISTOPHER
31/12/2021,11:19 pm,Mediven Cream,Mediven Cream,2,5000,1350,CRISTOPHER
31/12/2021,11:19 pm,Unisten Cream,Unisten Cream,5,6000,500.000005,CRISTOPHER
31/12/2021,11:19 pm,Aciclovir cream(cipla),Aciclovir cream(cipla),1,1550,100,CRISTOPHER
31/12/2021,11:19 pm,Ketoconazole Tabs 200mg 100s (India),Ketoconazole Tabs 200mg 100's (India),2,22000,1000,CRISTOPHER
31/12/2021,11:19 pm,Griseofulivin 500mg 100s(India),Griseofulivin 500mg 100's(India),2,39400,400,CRISTOPHER
31/12/2021,11:19 pm,Albendazole Tabs1s(Anthel),Albendazole Tabs1's(Anthel),20,8000,600,CRISTOPHER
31/12/2021,11:19 pm,Clotrimazole Pessaries,Clotrimazole,1,1650,250,CRISTOPHER
31/12/2021,11:19 pm,Cefixime 400mg Caps Virexim (C),Cefixime 400mg Caps (C),1,77500,1000,CRISTOPHER
31/12/2021,11:19 pm,Cefixime 200mg DT,Cefixime 200mg DT,1,5900,1400,CRISTOPHER
31/12/2021,11:19 pm,Ciprofloxacin Tab 500mg,Ciprofloxacin Tab 500mg,2,19200,1600,CRISTOPHER
31/12/2021,11:19 pm,Cephalexin Caps 250mg 100,Cephalaxin Caps 250mg 100',3,29400,900,CRISTOPHER
31/12/2021,11:19 pm,Chloramphenicol Caps 100s,Chloramphenicol Caps 100's,3,33000,1500,CRISTOPHER
31/12/2021,11:19 pm,Cloxa Cap(India) 250mg,Cloxa Cap(India) 250mg,3,22500,1500,CRISTOPHER
31/12/2021,11:19 pm,Drez V Gel,Drez V Gel,3,24000,711.5904,CRISTOPHER
31/12/2021,11:19 pm,Metro Tab F/c 100s,Metro Tab F/c 100's,10,31000,6250,CRISTOPHER
31/12/2021,11:19 pm,Septrine Tab 480mg 100s,Septrine Tab 480mg 100's,5,20000,1500,CRISTOPHER
31/12/2021,11:19 pm,AZY 500mg 3s,AZY 500mg 3's,5,7999.99,749.995,CRISTOPHER
31/12/2021,11:19 pm,Ampiclox Caps (India) 10x10,Ampiclox Caps (India) 10x10,5,52500,1500,CRISTOPHER
31/12/2021,11:19 pm,Ofloxacin 200mg 100s,Ofloxacin 200mg 100's,2,20000,3000,CRISTOPHER
31/12/2021,11:19 pm,Doxycline Caps 100s,Doxycline Caps 100's,3,21600,1200,CRISTOPHER
31/12/2021,11:19 pm,Fluconazole(India) 200mg,Fluconazole(India) 200mg,2,10000,-100,CRISTOPHER
31/12/2021,11:19 pm,Secnidazole Tabs (c),Secnidazole Tabs,10,17000,2500,CRISTOPHER
31/12/2021,11:19 pm,Amoxicillin Caps 250mg 10x10,Amoxicillin Caps 250mg 10x10,3,17700,1200,CRISTOPHER
31/12/2021,11:19 pm,Amoxikid 125mg 100s,Amoxikid 125mg 100's,2,10000,1000,CRISTOPHER
31/12/2021,11:19 pm,Paradenk Supp 250mg,Paradenk Supp 250mg,3,26250,1410,CRISTOPHER
31/12/2021,11:19 pm,Indomethacin Caps 100s,Indomethacin Caps 100's,5,21000,1500,CRISTOPHER
31/12/2021,11:19 pm,Diclofenac tabs 100s,Diclofenac tabs 100's,10,13000,2000,CRISTOPHER
31/12/2021,11:19 pm,Dentamol Tabs 20s,Dentamol Tabs 20's,0,0,0,CRISTOPHER
31/12/2021,11:19 pm,Dynapar Tabs 100s,Dynapar Tabs 100's,2,20400,800,CRISTOPHER
31/12/2021,11:19 pm,Curamol Tabs 100s,Curamol Tabs 100's,2,21000,700,CRISTOPHER
31/12/2021,11:19 pm,Panadol Extra 100s,Panadol Extra 100's,2,27000,1782,CRISTOPHER
31/12/2021,11:19 pm,Painex Tabs 100s,Painex Tabs 100's,2,22000,650,CRISTOPHER
31/12/2021,11:19 pm,Action Tabs 100s,Action Tabs 100's,2,19400,400,CRISTOPHER
31/12/2021,11:19 pm,Hedex Tabs 100s,Hedex Tabs 100's,2,23000,1995,CRISTOPHER
31/12/2021,11:19 pm,Tramadol Caps 10x10,Tramadol Caps 10x10,2,18600,5800,CRISTOPHER
31/12/2021,11:19 pm,Ibupar Tabs 10s,Ibupar Tabs 10's,0,0,0,CRISTOPHER
31/12/2021,11:19 pm,Piroxicam Cadila Caps 100s,Piroxicam,5,17250,375,CRISTOPHER
31/12/2021,11:19 pm,Brufen Tabs 100s,Brufen Tabs 100's,5,12000,1750,CRISTOPHER
31/12/2021,11:19 pm,Paracetamol tabs,Paracetamol tabs,20,51000,1000,CRISTOPHER
31/12/2021,6:25 pm,Diazepam/cozepam Tabs 5mg,Diazepam/cozepam Tabs 5mg,5,24050,1550,KIKOISHAKA
31/12/2021,11:04 pm,Ampiclox Caps (India) 10x10,Ampiclox Caps (India) 10x10,2,22000,1600,CRISTOPHER
31/12/2021,11:04 pm,Tetracycline Caps 100s,Tetracycline Caps 100's,1,7576,676,CRISTOPHER
31/12/2021,11:04 pm,Cephalexin Caps 250mg 100,Cephalaxin Caps 250mg 100',1,10000,500,CRISTOPHER
31/12/2021,11:04 pm,Ampicillin Caps 10x10,Ampicillin Caps 10x10,2,12000,1000,CRISTOPHER
31/12/2021,11:04 pm,Erythromycin Tabs 250mg,Erythromycin Tabs 250mg,1,10000,800,CRISTOPHER
31/12/2021,11:04 pm,Betaderm Cream 15g,Betaderm Cream 15g,2,5200,300,CRISTOPHER
31/12/2021,11:04 pm,Skderm Cream 30mg,Skderm Cream 30mg,2,6500,260,CRISTOPHER
31/12/2021,11:04 pm,Skderm Cream 15g,Skderm Cream 15g,2,4550,310,CRISTOPHER
31/12/2021,11:04 pm,Tetracycline Eye Oint.,Tetracycline Eye Oint.,2,1900,200,CRISTOPHER
31/12/2021,11:04 pm,Dragon Liquid Balm,Dragon Liquid Balm,2,6200,280,CRISTOPHER
31/12/2021,11:04 pm,Genta E/E Drop (India),Genta E/E Drop (India),3,1950,300,CRISTOPHER
31/12/2021,11:04 pm,Probeta N Eye Drop,Probeta N Eye Drop,3,8850,300,CRISTOPHER
31/12/2021,11:04 pm,Abnal Nasal Drops,Abnal Nasal Drops,3,5700,210,CRISTOPHER
31/12/2021,11:04 pm,Ocurest Eye Drop,Ocurest Eye Drop,2,7200,800,CRISTOPHER
31/12/2021,11:04 pm,Cetrizine Tabs 100s,Cetrizine Tabs 100's,2,3600,800,CRISTOPHER
31/12/2021,11:04 pm,Salbutamol Tabs 10x10,Salbutamol Tabs 10x10,1,1500,500,CRISTOPHER
31/12/2021,11:04 pm,Bisacodyl 5mg Tab,Bisacodyl 5mg Tab,1,3500,400,CRISTOPHER
31/12/2021,11:04 pm,Dexona Eye (Cadila),DEXONA Eye (Cadila),2,3400,200,CRISTOPHER
31/12/2021,11:04 pm,Piriton Tab 10x10,Piriton Tab 10x10,2,3400,700,CRISTOPHER
31/12/2021,11:04 pm,Toff-Plus Caps,Toff-Plus Caps,2,15400,700,CRISTOPHER
31/12/2021,11:04 pm,Flufed Tabs 10x10,Flufed Tabs 10x10,1,9500,1000,CRISTOPHER
31/12/2021,11:04 pm,Menthomax plus,Menthomax plus,1,16000,1000,CRISTOPHER
31/12/2021,11:04 pm,Sinarest 50x4 Tab,Sinarest 50x4 Tab,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,zecuf tabs 20s,zecuf tabs 20's,2,6400,700,CRISTOPHER
31/12/2021,11:04 pm,Sinurhon Syp 100ml,Sinurhon Syp 100ml,2,6400,400,CRISTOPHER
31/12/2021,11:04 pm,Clotrimazole Cream (C),Clotrimazole Cream (C),2,1800,400,CRISTOPHER
31/12/2021,11:04 pm,Clotrimazole Pessaries,Clotrimazole,2,3400,600,CRISTOPHER
31/12/2021,11:04 pm,Unisten Cream,Unisten Cream,2,2400,200.000002,CRISTOPHER
31/12/2021,11:04 pm,Lydia Fine Tabs,Lydia Fine Tabs,3,3300,300,CRISTOPHER
31/12/2021,11:04 pm,Microgynon Contrcptvs,Microgynon Contrcptvs,2,5000,1000,CRISTOPHER
31/12/2021,11:04 pm,Pillplan 30,Chainese Pill,5,21750,5083.333335,CRISTOPHER
31/12/2021,11:04 pm,Amlodac 10mg,Amlodac 10mg,1,12999.99,499.99,CRISTOPHER
31/12/2021,11:04 pm,Lydia postpil tab 1s,Lydia postpil tab 1's,10,16500,1500,CRISTOPHER
31/12/2021,11:04 pm,Back-Up emerg-pill,Back-Up emerg-pill,5,13000,1500,CRISTOPHER
31/12/2021,11:04 pm,Penegra Tabs 100mg 4s,Penegra Tabs 100mg 4's,5,19000,1125,CRISTOPHER
31/12/2021,11:04 pm,Trust Condom(studd/scentt) 24s,Trust Condom(studd/scentt) 24's,24,16800,-1560,CRISTOPHER
31/12/2021,11:04 pm,Haemoforte Syp 90ml,Haemoforte Syp 90ml,2,6000,420,CRISTOPHER
31/12/2021,11:04 pm,Dynapar Tabs 100s,Dynapar Tabs 100's,1,10500,700,CRISTOPHER
31/12/2021,11:04 pm,Brustan Tabs 10s,Brustan Tabs 10's,2,6400,500,CRISTOPHER
31/12/2021,11:04 pm,Brufen Tabs 100s,Brufen Tabs 100's,2,5000,900,CRISTOPHER
31/12/2021,11:04 pm,Piroxicam Cadila Caps 100s,Piroxicam,3,10800,675,CRISTOPHER
31/12/2021,11:04 pm,Ibupar Tabs 10s,Ibupar Tabs 10's,0,0,0,CRISTOPHER
31/12/2021,11:04 pm,Panadol Extra 100s,Panadol Extra 100's,1,13500,891,CRISTOPHER
31/12/2021,11:04 pm,KAMADOL PLUS 100s,KAMADOL PLUS 100'S,1,4400,300,CRISTOPHER
31/12/2021,11:04 pm,Painex Tabs 100s,Painex Tabs 100's,1,11000,325,CRISTOPHER
31/12/2021,10:19 pm,Zaha tabs 250mg 6s,Zaha tabs 250mg 6's,0,0,0,CRISTOPHER
31/12/2021,10:19 pm,Zaha tab 3s,Zaha tab 3's,3,14175,525,CRISTOPHER
31/12/2021,10:19 pm,Bisacodyl 5mg Tab,Bisacodyl 5mg Tab,2,7000,800,CRISTOPHER
31/12/2021,10:19 pm,Coldafex Tab 200s,Coldafex Tab 200's,0,0,0,CRISTOPHER
31/12/2021,10:19 pm,Magnesium Tabs.,Magnesium Tabs.,5,11000,1500,CRISTOPHER
31/12/2021,10:19 pm,Griseofulivin 500mg 100s(India),Griseofulivin 500mg 100's(India),2,39400,400,CRISTOPHER
31/12/2021,10:19 pm,Neuroton Tabs 20s,Neuroton Tabs 20's,3,36000,3000,CRISTOPHER
31/12/2021,10:19 pm,Sinarest 50x4 Tab,Sinarest 50x4 Tab,0,0,0,CRISTOPHER
31/12/2021,10:19 pm,NEOSIDAR,FANSIDER,15,13500,750,CRISTOPHER
31/12/2021,10:19 pm,Lonart Tab 24s,Lonart Tab 24's,10,21500,1500,CRISTOPHER
31/12/2021,10:19 pm,Septrine Tab 480mg 100s,Septrine Tab 480mg 100's,3,12000,900,CRISTOPHER
31/12/2021,10:19 pm,Erythromycin Tabs 250mg,Erythromycin Tabs 250mg,3,29100,1500,CRISTOPHER
31/12/2021,10:19 pm,Pen V (Regal) 100s,Pen V (Regal) 100's,4,20800,1600,CRISTOPHER
31/12/2021,10:19 pm,Dexona Tabs 100s,Dexona Tabs 100's,5,10750,1250,CRISTOPHER
31/12/2021,10:19 pm,Prednisolene Tabs 10x10,Prednisolene Tabs 10x10,5,12000,1500,CRISTOPHER
31/12/2021,10:19 pm,Cetrizine Tabs 100s,Cetrizine Tabs 100's,3,5100,900,CRISTOPHER
31/12/2021,10:19 pm,Toractin Tabs 100s,Toractin Tabs 100's,0,0,0,CRISTOPHER
31/12/2021,10:19 pm,Flufed Tabs 10x10,Flufed Tabs 10x10,3,28500,3000,CRISTOPHER
31/12/2021,10:19 pm,Azithro 250mg (Swazi),Azithro 250mg (Swazi),10,21999.96,3499.96,CRISTOPHER
31/12/2021,10:19 pm,AZY 500mg 3s,AZY 500mg 3's,10,15999.99,1499.99,CRISTOPHER
31/12/2021,10:19 pm,Piriton Tab 10x10,Piriton Tab 10x10,5,7500,750,CRISTOPHER
31/12/2021,10:19 pm,Diclofenac tabs 100s,Diclofenac tabs 100's,10,13000,2000,CRISTOPHER
31/12/2021,10:19 pm,Dynapar Tabs 100s,Dynapar Tabs 100's,3,30600,1200,CRISTOPHER
31/12/2021,10:19 pm,Hedex Tabs 100s,Hedex Tabs 100's,2,23000,1995,CRISTOPHER
31/12/2021,10:19 pm,Action Tabs 100s,Action Tabs 100's,2,19400,400,CRISTOPHER
31/12/2021,10:19 pm,Ibupar Tabs 10s,Ibupar Tabs 10's,1,1250,29.47,CRISTOPHER
31/12/2021,10:19 pm,Actinac Plus 20s,Actinac Plus 20's,4,15600,800,CRISTOPHER
31/12/2021,10:19 pm,Brufen Tabs 100s,Brufen Tabs 100's,5,12000,1750,CRISTOPHER
31/12/2021,10:19 pm,Panadol Extra 100s,Panadol Extra 100's,3,40500,2673,CRISTOPHER
31/12/2021,10:19 pm,Paracetamol tabs,Paracetamol tabs,20,51000,1000,CRISTOPHER
31/12/2021,10:19 pm,Amoxicillin Caps 250mg 10x10,Amoxicillin Caps 250mg 10x10,4,23600,1600,CRISTOPHER
31/12/2021,10:19 pm,Indomethacin Caps 100s,Indomethacin Caps 100's,5,21000,1510,CRISTOPHER
31/12/2021,10:19 pm,Cloxa Cap(India) 250mg,Cloxa Cap(India) 250mg,2,15000,1800,CRISTOPHER
